indicator,related_indicator,similarity_score
10.6.1,16.b.1,0.24807472628408272
10.6.1,17.5.1,0.23733405328256174
10.7.1,10.c.1,0.2556923799468158
10.7.4,16.1.1,0.3389906537283319
10.7.4,16.1.2,0.3018100156475815
10.a.1,17.12.1,0.6133673320126369
10.a.1,17.10.1,0.5379855955060109
10.a.1,17.5.1,0.27784787412406453
10.a.1,17.2.1,0.24477636281031195
10.b.1,17.9.1,0.4305410256334023
10.b.1,17.2.1,0.27050922484457673
10.b.1,16.4.1,0.20698558602123768
11.1.1,17.19.2,0.2010919474129859
11.3.1,15.3.1,0.3424427923595643
11.3.1,15.1.1,0.30965600634741797
11.3.2,11.a.1,0.3446833261969478
11.5.1,13.1.1,0.9999999999999999
11.5.2,13.1.2,0.6850021529032024
11.5.2,11.b.1,0.6620840371204413
11.5.2,13.1.3,0.4247900642845259
11.5.2,11.b.2,0.4247900642845259
11.6.1,12.4.2,0.28827250954724093
11.7.2,16.1.3,0.3405310596788127
11.a.1,17.14.1,0.29632855722497303
11.a.1,12.1.1,0.2360674143153611
11.b.1,13.1.2,0.9665430018203174
11.b.1,13.1.3,0.5738799146078417
11.b.1,11.b.2,0.5738799146078417
11.b.2,13.1.3,1.0000000000000002
11.b.2,13.1.2,0.5937448344533433
12.1.1,14.c.1,0.2798411133700076
12.1.1,17.14.1,0.23145465103937587
12.2.1,12.2.2,0.3556574349639858
12.4.1,13.2.2,0.26754734162976185
12.8.1,13.3.1,1.0
13.1.2,13.1.3,0.5937448344533433
13.2.1,13.b.1,0.7773729344836453
13.2.1,13.2.2,0.2554252825778296
13.2.2,13.a.1,0.37676799008624295
13.2.2,13.b.1,0.24209550037276895
14.4.1,14.7.1,0.22891749233734318
14.5.1,15.4.1,0.8282924801856446
14.5.1,15.1.2,0.7502762085237591
14.5.1,15.1.1,0.3369623477815812
14.5.1,15.a.1,0.2340063843258278
14.5.1,15.b.1,0.2340063843258278
14.6.1,14.c.1,0.22311200159941086
14.7.1,17.3.2,0.34845752252594275
14.c.1,17.16.1,0.2304895320169167
15.1.1,15.2.1,0.5911063400259782
15.1.1,15.3.1,0.3658111871670093
15.1.1,15.4.1,0.22793230267526818
15.1.1,15.1.2,0.22607142929398263
15.1.2,15.4.1,0.7766277147648077
15.1.2,15.a.1,0.2996745438968917
15.1.2,15.b.1,0.2996745438968917
15.1.2,15.9.1,0.2335116397989498
15.4.1,15.a.1,0.30620010983302215
15.4.1,15.b.1,0.30620010983302215
15.4.1,15.4.2,0.30231730766777964
15.4.1,15.9.1,0.2548114541594148
15.7.1,15.c.1,1.0
15.9.1,15.b.1,0.3596459682288109
15.9.1,15.a.1,0.3596459682288109
15.9.1,17.18.3,0.27537209247806765
15.a.1,15.b.1,1.0
16.1.1,16.1.2,0.28831321783091374
16.1.3,16.3.1,0.36443800500144574
16.1.3,16.2.1,0.2581857853903078
16.1.3,16.2.3,0.23815508583269562
16.2.1,16.2.3,0.23400602257479386
16.2.1,16.3.3,0.23294739744576715
16.5.2,16.6.2,0.22286295383936028
16.6.1,17.1.2,0.3358573010161213
16.6.2,16.7.2,0.26873596354760754
16.6.2,17.4.1,0.25307856190669464
16.8.1,16.b.1,0.229165534347088
16.8.1,16.a.1,0.21250419482278302
16.8.1,17.2.1,0.20894337973458132
16.8.1,17.5.1,0.20190298018618222
16.10.1,16.b.1,0.35308421191827144
16.10.1,16.a.1,0.2402424597331226
16.10.2,17.5.1,0.21406753955675178
16.a.1,16.b.1,0.43592910656364714
17.1.1,17.1.2,0.23904828648727167
17.2.1,17.12.1,0.29810321226042547
17.2.1,17.9.1,0.27276630452824635
17.2.1,17.5.1,0.23507883277628744
17.2.1,17.15.1,0.2297381449308943
17.4.1,17.11.1,0.35748083286277965
17.5.1,17.12.1,0.341345034387197
17.5.1,17.15.1,0.2610487452008675
17.5.1,17.18.3,0.2408447702302262
17.5.1,17.16.1,0.22750859911614643
17.10.1,17.12.1,0.29076034965883485
17.11.1,17.12.1,0.3279136907218393
17.15.1,17.16.1,0.2106377832022893
17.18.2,17.18.3,0.24516411890251544
17.18.2,17.19.1,0.2288124527726203
17.18.3,17.19.1,0.30827208328890077
