,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
120,13.1.2,8.3.1,pearson,two-sided,9,-0.08514384076928028,[-0.71  0.61],0.8275908492195252,0.415,0.054438696107232905
121,13.1.2,1.5.4,pearson,two-sided,9,0.552003706965174,[-0.18  0.89],0.12332479716202106,1.156,0.35824194965725004
122,13.1.2,8.1.1,pearson,two-sided,9,-0.24933489768581094,[-0.78  0.5 ],0.5176431095133502,0.49,0.09970869387054473
123,13.1.2,3.6.1,pearson,two-sided,9,-0.7639592490718778,[-0.95 -0.2 ],0.016553367662750108,4.864,0.7292033644391375
124,13.1.2,16.6.1,pearson,two-sided,9,-0.10270531548693224,[-0.72  0.6 ],0.792600924451463,0.419,0.05701201739931409
125,13.1.2,11.b.2,pearson,two-sided,9,0.552003706965174,[-0.18  0.89],0.12332479716202106,1.156,0.35824194965725004
126,13.1.2,2.2.1,pearson,two-sided,9,0.1717423399150071,[-0.56  0.75],0.6586152914123374,0.443,0.07215372889496147
127,13.1.2,9.5.1,pearson,two-sided,9,-0.5213050439640898,[-0.88  0.22],0.15007815428142657,1.013,0.3180245268092498
128,13.1.2,1.3.1,pearson,two-sided,9,0.7274820258324409,[0.12 0.94],0.02632604938895924,3.461,0.656615563809911
129,13.1.2,12.a.1,pearson,two-sided,9,0.8024642259755206,[0.3  0.96],0.009242883608871343,7.481,0.8053397945628082
130,13.1.2,7.a.1,pearson,two-sided,9,-0.444909580547035,[-0.86  0.31],0.23014829686329855,0.769,0.23332502806030758
131,13.1.2,17.17.1,pearson,two-sided,9,0.431115593900916,[-0.33  0.85],0.24664651198075474,0.736,0.2202282063174032
132,13.1.2,3.4.2,pearson,two-sided,9,0.7639592490718785,[0.2  0.95],0.016553367662749955,4.864,0.7292033644391387
133,13.1.2,1.5.3,pearson,two-sided,9,1.0,"[1.0, 1.0]",0.0,inf,1.0
134,13.1.2,14.7.1,pearson,two-sided,9,-0.7523652782828145,[-0.94 -0.18],0.01933825258830247,4.338,0.7060321198950354
135,13.1.2,17.13.1,pearson,two-sided,9,0.5015209299952524,[-0.24  0.87],0.16896512804984928,0.937,0.2940321446042538
136,13.1.2,3.2.1,pearson,two-sided,9,-0.7614454947722159,[-0.95 -0.2 ],0.01713284736570782,4.742,0.724178647385028
137,13.1.2,1.5.2,pearson,two-sided,9,0.09374919274700433,[-0.61  0.71],0.8104089729980973,0.417,0.05563721007945882
138,13.1.2,9.1.2,pearson,two-sided,9,-0.7253876954731234,[-0.94 -0.12],0.026980089890719348,3.399,0.6524938143305739
139,13.1.2,15.1.1,pearson,two-sided,9,-0.7639608612119771,[-0.95 -0.2 ],0.016553000280213174,4.864,0.7292065866017942
140,13.1.2,16.2.2,pearson,two-sided,9,-0.782917175313087,[-0.95 -0.25],0.01259871646711711,5.949,0.7669806824530512
141,13.1.2,3.2.2,pearson,two-sided,9,0.7734596552306616,[0.22 0.95],0.014481439161609986,5.368,0.7481728269165968
142,13.1.2,17.4.1,pearson,two-sided,9,-0.1123254294991024,[-0.72  0.6 ],0.7735648052878127,0.422,0.0586351917317363
143,13.1.2,1.5.1,pearson,two-sided,9,0.09511044785526203,[-0.61  0.71],0.807697254922491,0.417,0.055837758952867314
144,13.1.2,3.3.5,pearson,two-sided,9,0.8038147653067896,[0.3  0.96],0.009036341214936463,7.607,0.8079527088398584
145,13.1.2,2.1.2,pearson,two-sided,9,-0.7101003007654929,[-0.93 -0.09],0.032078831854641346,2.997,0.6226618839924115
146,13.1.2,15.6.1,pearson,two-sided,9,0.538012536785935,[-0.2   0.89],0.13513417209539333,1.087,0.3394559546030771
147,13.1.2,17.3.1,pearson,two-sided,9,-0.7494663587434294,[-0.94 -0.17],0.0200800747729436,4.22,0.7002448590392635
