,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
106,13.1.2,12.4.2,pearson,two-sided,9,-0.5290369761236193,[-0.88  0.21],0.14304810093248174,1.046,0.32780803137911185
107,13.1.2,8.9.1,pearson,two-sided,9,0.4642383454426259,[-0.29  0.86],0.20807312571474865,0.819,0.25276876200669646
108,13.1.2,3.8.2,pearson,two-sided,9,-0.5363120925812789,[-0.89  0.2 ],0.1366131567620926,1.079,0.3372251133189536
109,13.1.2,4.3.1,pearson,two-sided,9,-0.6454269262347825,[-0.92  0.03],0.06046464652379969,1.899,0.5035082724593057
110,13.1.2,7.2.1,pearson,two-sided,9,0.5952683399353993,[-0.11  0.9 ],0.09081651214549626,1.426,0.42124466409268146
111,13.1.2,2.a.1,pearson,two-sided,9,0.591237387834237,[-0.12  0.9 ],0.09359278531065117,1.397,0.4150600201957232
112,13.1.2,6.4.2,pearson,two-sided,9,-0.6306146406647157,[-0.91  0.06],0.0686341424492711,1.736,0.47821151048944005
113,13.1.2,6.6.1,pearson,two-sided,9,0.6763723320186807,[0.02 0.92],0.045450196592446326,2.329,0.5588888200162666
114,13.1.2,3.8.1,pearson,two-sided,9,0.6454972243679007,[-0.03  0.92],0.060427420184429946,1.9,0.503630265829034
115,13.1.2,10.5.1,pearson,two-sided,9,-0.46386068567305816,[-0.86  0.29],0.20849272226099153,0.818,0.25237639179878846
116,13.1.2,6.4.1,pearson,two-sided,9,0.6389861239787384,[-0.04  0.91],0.06393702938677573,1.825,0.4924081258591535
117,13.1.2,10.7.3,pearson,two-sided,9,-0.03345386118292829,[-0.68  0.64],0.9319118821664126,0.408,0.04970642091290466
118,13.1.2,11.1.1,pearson,two-sided,9,-0.6297274182484492,[-0.91  0.06],0.06914423381363503,1.727,0.47672242520359365
119,13.1.2,2.c.1,pearson,two-sided,9,0.20684878897226727,[-0.53  0.77],0.5933480707996752,0.461,0.08314278184465915
120,13.1.2,14.1.1,pearson,two-sided,9,0.8730466256791796,[0.5  0.97],0.002115602825210447,22.362,0.9278765852539467
121,13.1.2,1.1.1,pearson,two-sided,9,-0.6204719176885634,[-0.91  0.07],0.07460723550546171,1.636,0.4613676491420533
122,13.1.2,12.c.1,pearson,two-sided,9,0.19469438499504355,[-0.54  0.76],0.6156879021517814,0.455,0.07907240030543405
123,13.1.2,11.b.1,pearson,two-sided,9,1.0,"[1.0, 1.0]",0.0,inf,1.0
124,13.1.2,2.2.2,pearson,two-sided,9,-0.6141082458030571,[-0.91  0.08],0.0785146276169114,1.579,0.4510021253044441
125,13.1.2,9.5.2,pearson,two-sided,9,-0.6422396150286986,[-0.92  0.04],0.06216772288747123,1.862,0.49799611688737744
126,13.1.2,3.4.1,pearson,two-sided,9,0.6454972243679007,[-0.03  0.92],0.060427420184429946,1.9,0.503630265829034
127,13.1.2,15.5.1,pearson,two-sided,9,0.6290865995930721,[-0.06  0.91],0.069514132050209,1.72,0.47564875634847137
128,13.1.2,8.3.1,pearson,two-sided,9,0.6805975133131019,[0.03 0.93],0.043608673849515105,2.399,0.5666978324445916
129,13.1.2,1.5.4,pearson,two-sided,9,-0.67610555201368,[-0.92 -0.02],0.045568115850209374,2.325,0.5583976422978177
130,13.1.2,8.1.1,pearson,two-sided,9,-0.1522113964505724,[-0.74  0.57],0.6958419853361408,0.435,0.06702881036418669
131,13.1.2,3.6.1,pearson,two-sided,9,-0.6454972243679036,[-0.92  0.03],0.0604274201844284,1.9,0.5036302658290389
132,13.1.2,16.6.1,pearson,two-sided,9,-0.21134343718583326,[-0.77  0.53],0.5851599263517034,0.464,0.08472127072216695
133,13.1.2,11.b.2,pearson,two-sided,9,-0.67610555201368,[-0.92 -0.02],0.045568115850209374,2.325,0.5583976422978177
