Var1,Var2,value
7.2.1,15.6.1,-0.77395452961197
7.3.1,3.3.3,0.774765827719745
17.17.1,14.7.1,-0.775475630283593
4.5.1,7.a.1,0.77564017256653
15.5.1,17.17.1,-0.775793925532956
7.2.1,17.3.2,-0.775899628984213
17.17.1,17.1.1,-0.77658973099701
14.1.1,17.3.2,-0.777259269202766
7.3.1,17.17.1,0.777853445684877
17.17.1,3.2.2,0.778109506530459
17.17.1,17.3.1,-0.778428239355333
10.4.1,3.4.1,-0.778472598411558
12.c.1,17.1.1,-0.778535006484093
8.8.2,7.3.1,0.780043002676949
1.5.4,2.2.1,0.780172112541638
11.b.2,2.2.1,0.780172112541638
13.1.3,2.2.1,0.780172112541638
17.13.1,17.3.1,-0.780174123948279
13.1.2,17.8.1,0.780225215443168
17.8.1,1.5.3,0.780225215443168
17.8.1,11.b.1,0.780225215443168
17.8.1,17.17.1,0.781001891857685
10.4.1,1.5.4,-0.782464456611189
10.4.1,11.b.2,-0.782464456611189
13.1.3,10.4.1,-0.782464456611189
1.5.3,16.2.2,-0.782917175313087
11.b.1,16.2.2,-0.782917175313087
13.1.2,16.2.2,-0.782917175313087
9.5.1,15.6.1,-0.782981284642681
2.2.2,9.5.2,-0.783066678599404
9.5.2,15.6.1,-0.783566213553665
9.1.2,17.1.1,0.783677247990732
11.6.2,17.17.1,-0.783736250230322
6.2.1,3.3.3,-0.783811336935679
3.b.1,17.3.1,0.783879421339513
1.3.1,17.17.1,0.78421615684046
17.17.1,9.4.1,-0.784498844531956
12.c.1,1.5.3,0.78495366773077
12.c.1,11.b.1,0.78495366773077
13.1.2,12.c.1,0.78495366773077
2.c.1,3.3.3,-0.785047593974774
9.4.1,3.3.3,-0.78690330558901
11.5.2,2.2.2,0.787173727626401
11.5.1,2.2.1,0.789351058960683
13.1.1,2.2.1,0.789351058960683
2.2.1,1.5.1,0.789351058960683
8.3.1,9.5.1,0.789362767452212
17.17.1,2.1.1,0.789500162874002
7.3.1,2.1.1,0.789753674819942
7.3.1,7.1.2,0.790403177195903
3.b.1,9.5.2,0.79046617826454
7.1.2,17.1.1,-0.790686128288554
10.4.1,2.a.1,0.791229522631998
