Var1,Var2,value
7.1.1,17.13.1,-0.874619436067525
2.a.1,8.3.1,0.874803546922896
4.3.1,14.1.1,-0.87505113543772
1.a.2,12.b.1,0.875406561809159
10.4.1,2.5.2,0.875492531603037
17.8.1,3.3.5,-0.875587452212103
6.5.1,14.1.1,0.875715646253451
14.1.1,1.2.1,0.875715646253454
3.d.2,14.1.1,-0.875715646253455
14.1.1,3.4.1,0.875715646253456
14.1.1,3.4.2,-0.875715646253456
3.8.1,14.1.1,0.875715646253456
14.1.1,3.6.1,-0.875715646253459
14.1.1,16.3.2,0.87571564625346
7.2.1,1.1.1,-0.875771781311318
1.3.1,10.c.1,0.875842310449912
5.b.1,2.5.2,-0.876220211300182
17.1.1,15.2.1,0.876483353739346
8.8.2,12.4.2,0.876525747005776
7.2.1,16.2.2,-0.877038209843678
4.3.1,17.13.1,-0.87754182341186
11.6.2,1.a.2,-0.877604632764128
11.6.2,5.b.1,0.877604822116889
12.a.1,16.2.2,0.87792605455069
16.2.2,7.b.1,0.87792605455069
15.8.1,3.2.1,-0.877929514823029
3.4.1,17.13.1,0.878040183620747
3.4.2,17.13.1,-0.878040183620747
3.6.1,17.13.1,-0.878040183620747
3.8.1,17.13.1,0.878040183620747
6.5.1,17.13.1,0.878040183620747
3.d.2,17.13.1,-0.878040183620748
17.13.1,16.3.2,0.87804018362075
17.13.1,1.2.1,0.878040183620751
15.5.1,15.2.1,-0.878116919963587
7.1.1,2.5.1,0.878827016099411
15.8.1,3.2.2,-0.879066800680847
7.1.2,15.2.1,0.87953704252632
4.2.2,12.a.1,-0.879893120900319
4.2.2,7.b.1,-0.879893120900319
9.1.2,16.2.2,-0.88024807843309
15.8.1,1.4.1,-0.880316135082367
6.4.1,2.1.1,-0.880450147378082
15.8.1,15.6.1,-0.880493838620799
15.8.1,1.3.1,0.880874039103796
3.2.2,15.2.1,0.881486420723331
10.5.1,6.4.1,-0.881648536361505
7.3.1,17.8.1,-0.882140192467686
14.1.1,9.5.2,-0.882267906634712
3.3.2,15.2.1,-0.882509118634918
14.1.1,8.3.1,0.88253311356073
6.4.1,10.c.1,0.882692199652089
15.6.1,15.2.1,0.88305450523892
4.2.2,10.c.1,0.883131640172459
17.13.1,3.3.2,0.883317577358836
11.6.2,9.5.1,0.883451002385817
2.a.1,3.3.3,-0.883493982608936
17.13.1,3.2.1,-0.883567214803536
3.2.1,15.2.1,0.883739378840658
15.8.1,15.5.1,0.884212276645204
6.6.1,14.1.1,0.884404982539535
12.b.1,2.5.1,-0.884407161222089
3.b.1,7.3.1,0.884544031562965
11.6.2,3.8.2,0.885018643933949
4.2.2,3.3.3,-0.885052895155494
2.2.2,15.2.1,0.885161349610082
3.b.1,7.2.1,-0.88521622487967
17.1.1,2.5.2,-0.885374858514508
4.2.2,3.8.2,-0.885444067012011
10.4.1,16.2.2,-0.885446393962144
4.5.1,2.a.1,0.885485895136636
17.13.1,3.2.2,-0.885551942629582
4.5.1,2.5.1,-0.885774933622584
4.3.1,15.2.1,0.885897092258348
2.a.1,1.3.1,0.885905994236579
14.1.1,3.3.2,0.885966092045069
1.a.2,14.1.1,0.885993365048392
6.5.1,15.2.1,-0.88599358174335
3.d.2,15.2.1,0.885993581743357
16.3.2,15.2.1,-0.885993581743359
1.2.1,15.2.1,-0.88599358174336
3.4.1,15.2.1,-0.885993581743361
3.4.2,15.2.1,0.885993581743361
3.8.1,15.2.1,-0.885993581743361
