"","Var1","Var2","value","abs","tie"
"360","10.4.1","6.6.1",0.853540923419314,0.853540923419314,1
"361","6.5.1","6.6.1",-0.99001722722113,0.99001722722113,0
"362","1.a.2","6.6.1",0.881944322390983,0.881944322390983,1
"363","4.2.2","6.6.1",-0.946926357087744,0.946926357087744,0
"364","7.1.1","6.6.1",0.924450291531321,0.924450291531321,1
"365","7.3.1","6.6.1",-0.813544860006926,0.813544860006926,0
"366","3.9.3","6.6.1",0.990017227221134,0.990017227221134,1
"367","7.1.2","6.6.1",-0.984969434990697,0.984969434990697,0
"368","17.8.1","6.6.1",-0.985424898422847,0.985424898422847,0
"369","11.5.1","6.6.1",-0.536925714427253,0.536925714427253,0
"370","4.5.1","6.6.1",0.254559295242606,0.254559295242606,0
"371","6.2.1","6.6.1",0.944619018437688,0.944619018437688,1
"372","11.5.2","6.6.1",-0.606803145030722,0.606803145030722,0
"373","12.4.2","6.6.1",0.242064198789582,0.242064198789582,0
"374","4.3.1","6.6.1",0.946372002243381,0.946372002243381,1
"375","7.2.1","6.6.1",0.880037130284318,0.880037130284318,1
"376","2.a.1","6.6.1",0.948126170461871,0.948126170461871,1
"377","6.4.2","6.6.1",-0.92941477265697,0.92941477265697,0
"378","6.6.1","6.6.1",1,1,1
"379","13.1.3","3.8.1",0.920746378288664,0.920746378288664,1
"380","13.1.2","3.8.1",0.763959249071876,0.763959249071876,1
"381","8.8.2","3.8.1",0.986471474556109,0.986471474556109,1
"382","17.9.1","3.8.1",-0.0706350922839509,0.0706350922839509,0
"383","13.1.1","3.8.1",0.612724107289199,0.612724107289199,1
"384","6.1.1","3.8.1",-0.969087423704699,0.969087423704699,0
"385","3.b.1","3.8.1",-0.974931124030439,0.974931124030439,0
"386","11.6.2","3.8.1",-0.958082296374171,0.958082296374171,0
"387","10.4.1","3.8.1",-0.843272074705104,0.843272074705104,0
"388","6.5.1","3.8.1",1,1,1
"389","1.a.2","3.8.1",-0.859483483952598,0.859483483952598,0
"390","4.2.2","3.8.1",0.950357270593765,0.950357270593765,1
"391","7.1.1","3.8.1",-0.94096581588635,0.94096581588635,0
"392","7.3.1","3.8.1",0.823201729141016,0.823201729141016,1
"393","3.9.3","3.8.1",-1,1,0
"394","7.1.2","3.8.1",0.996822663489553,0.996822663489553,1
"395","17.8.1","3.8.1",0.998244325461127,0.998244325461127,1
"396","11.5.1","3.8.1",0.612724107289199,0.612724107289199,1
"397","4.5.1","3.8.1",-0.226090700100006,0.226090700100006,0
"398","6.2.1","3.8.1",-0.938699851130911,0.938699851130911,0
"399","11.5.2","3.8.1",0.679620220441353,0.679620220441353,1
"400","12.4.2","3.8.1",-0.23505388878485,0.23505388878485,0
"401","4.3.1","3.8.1",-0.962379012992433,0.962379012992433,0
"402","7.2.1","3.8.1",-0.866759874252201,0.866759874252201,0
"403","2.a.1","3.8.1",-0.938847134315802,0.938847134315802,0
"404","6.4.2","3.8.1",0.930260509419061,0.930260509419061,1
"405","6.6.1","3.8.1",-0.99001722722113,0.99001722722113,0
"406","3.8.1","3.8.1",1,1,1
"407","13.1.3","10.5.1",-0.459667635167764,0.459667635167764,0
"408","13.1.2","10.5.1",-0.911078112124124,0.911078112124124,0
"409","8.8.2","10.5.1",-0.650279537916038,0.650279537916038,0
"410","17.9.1","10.5.1",-0.0336499679571756,0.0336499679571756,0
"411","13.1.1","10.5.1",0.0581939399123213,0.0581939399123213,0
"412","6.1.1","10.5.1",0.684935480189054,0.684935480189054,1
"413","3.b.1","10.5.1",0.709670539223393,0.709670539223393,1
"414","11.6.2","10.5.1",0.619028931455585,0.619028931455585,1
"415","10.4.1","10.5.1",0.496328392120567,0.496328392120567,0
"416","6.5.1","10.5.1",-0.655841165578234,0.655841165578234,0
"417","1.a.2","10.5.1",0.593989630467378,0.593989630467378,1
"418","4.2.2","10.5.1",-0.579270008311558,0.579270008311558,0
"419","7.1.1","10.5.1",0.625710905264107,0.625710905264107,1
"420","7.3.1","10.5.1",-0.652965291567564,0.652965291567564,0
"421","3.9.3","10.5.1",0.655841165578247,0.655841165578247,1
