"","Var1","Var2","value","abs","tie"
"1267","3.4.1","2.2.1",0.97036824424844,0.97036824424844,1
"1268","15.5.1","2.2.1",0.966831928654319,0.966831928654319,1
"1269","8.3.1","2.2.1",0.970110372311486,0.970110372311486,1
"1270","1.5.4","2.2.1",-0.495059796325742,0.495059796325742,0
"1271","8.1.1","2.2.1",-0.42194172147443,0.42194172147443,0
"1272","3.6.1","2.2.1",-0.97036824424844,0.97036824424844,0
"1273","16.6.1","2.2.1",-0.313432109115343,0.313432109115343,0
"1274","11.b.2","2.2.1",-0.495059796325742,0.495059796325742,0
"1275","2.2.1","2.2.1",1,1,1
"1276","13.1.3","9.5.1",0.482118767567131,0.482118767567131,0
"1277","13.1.2","9.5.1",-0.625113754327913,0.625113754327913,0
"1278","8.8.2","9.5.1",0.986912684475841,0.986912684475841,1
"1279","17.9.1","9.5.1",-0.111291636436546,0.111291636436546,0
"1280","13.1.1","9.5.1",-0.343892762685056,0.343892762685056,0
"1281","3.b.1","9.5.1",0.94760977636717,0.94760977636717,1
"1282","11.6.2","9.5.1",0.883451002385817,0.883451002385817,1
"1283","10.4.1","9.5.1",-0.946043212644656,0.946043212644656,0
"1284","6.5.1","9.5.1",-0.968422063998884,0.968422063998884,0
"1285","1.a.2","9.5.1",-0.932929100070227,0.932929100070227,0
"1286","4.2.2","9.5.1",-0.979245517096454,0.979245517096454,0
"1287","15.8.1","9.5.1",-0.806684958292513,0.806684958292513,0
"1288","7.1.1","9.5.1",0.945596092320376,0.945596092320376,1
"1289","3.d.2","9.5.1",0.968422063998882,0.968422063998882,1
"1290","7.3.1","9.5.1",0.948937247036379,0.948937247036379,1
"1291","7.1.2","9.5.1",0.974256582489375,0.974256582489375,1
"1292","17.8.1","9.5.1",-0.922076652210273,0.922076652210273,0
"1293","11.5.1","9.5.1",-0.343892762685056,0.343892762685056,0
"1294","4.5.1","9.5.1",-0.974438192793848,0.974438192793848,0
"1295","6.2.1","9.5.1",0.962804917111856,0.962804917111856,1
"1296","11.5.2","9.5.1",0.239238170134668,0.239238170134668,0
"1297","12.4.2","9.5.1",0.844110340516249,0.844110340516249,1
"1298","8.9.1","9.5.1",-0.677852084433508,0.677852084433508,0
"1299","3.8.2","9.5.1",0.793340116520165,0.793340116520165,1
"1300","4.3.1","9.5.1",0.967333646400267,0.967333646400267,1
"1301","7.2.1","9.5.1",-0.818185524778482,0.818185524778482,0
"1302","2.a.1","9.5.1",-0.804764443035359,0.804764443035359,0
"1303","6.4.2","9.5.1",0.988596623864681,0.988596623864681,1
"1304","6.6.1","9.5.1",-0.934684754559682,0.934684754559682,0
"1305","3.8.1","9.5.1",-0.968422063998881,0.968422063998881,0
"1306","10.5.1","9.5.1",0.951045881135906,0.951045881135906,1
"1307","6.4.1","9.5.1",-0.934074985805215,0.934074985805215,0
"1308","10.7.3","9.5.1",-0.283724115949221,0.283724115949221,0
"1309","11.1.1","9.5.1",0.990834184569832,0.990834184569832,1
"1310","2.c.1","9.5.1",-0.199546408754097,0.199546408754097,0
"1311","14.1.1","9.5.1",-0.836851003059029,0.836851003059029,0
"1312","1.1.1","9.5.1",0.947159011314474,0.947159011314474,1
"1313","12.c.1","9.5.1",-0.633259042490847,0.633259042490847,0
"1314","11.b.1","9.5.1",-0.625113754327913,0.625113754327913,0
"1315","2.2.2","9.5.1",0.972116752144561,0.972116752144561,1
"1316","9.5.2","9.5.1",0.964260597011442,0.964260597011442,1
"1317","3.4.1","9.5.1",-0.968422063998881,0.968422063998881,0
"1318","15.5.1","9.5.1",-0.972179729890942,0.972179729890942,0
"1319","8.3.1","9.5.1",-0.97486918918191,0.97486918918191,0
"1320","1.5.4","9.5.1",0.482118767567131,0.482118767567131,0
"1321","8.1.1","9.5.1",0.567373779830047,0.567373779830047,1
"1322","3.6.1","9.5.1",0.968422063998881,0.968422063998881,1
"1323","16.6.1","9.5.1",0.531692975730872,0.531692975730872,1
"1324","11.b.2","9.5.1",0.482118767567131,0.482118767567131,0
"1325","2.2.1","9.5.1",-0.914507988179408,0.914507988179408,0
"1326","9.5.1","9.5.1",1,1,1
"1327","13.1.3","1.3.1",-0.401712935554523,0.401712935554523,0
"1328","13.1.2","1.3.1",0.563885557546926,0.563885557546926,1
"1329","8.8.2","1.3.1",-0.966583625066546,0.966583625066546,0
"1330","17.9.1","1.3.1",0.195448593354789,0.195448593354789,0
"1331","13.1.1","1.3.1",0.529253881869522,0.529253881869522,1
"1332","3.b.1","1.3.1",-0.916273866385444,0.916273866385444,0
"1333","11.6.2","1.3.1",-0.8565332841014,0.8565332841014,0
"1334","10.4.1","1.3.1",0.97368771137649,0.97368771137649,1
"1335","6.5.1","1.3.1",0.988487967555966,0.988487967555966,1
"1336","1.a.2","1.3.1",0.945252491799571,0.945252491799571,1
"1337","4.2.2","1.3.1",0.94835611700865,0.94835611700865,1
