,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
121,SI_COV_PENSN FEMALE                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2020.0,11.5
122,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2012.0,86.0
123,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2012.0,91.0
124,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2012.0,97.0
125,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2013.0,86.0
126,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2013.0,97.0
127,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2013.0,91.0
128,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2014.0,97.0
129,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2014.0,87.0
130,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2014.0,92.0
131,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2015.0,97.0
132,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2015.0,87.0
133,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2015.0,92.0
134,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2016.0,92.0
135,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2016.0,88.0
136,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2016.0,97.0
137,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2017.0,93.0
138,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2017.0,97.0
139,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2017.0,88.0
140,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2018.0,97.0
141,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2018.0,89.0
142,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2018.0,93.0
143,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2019.0,98.0
144,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2019.0,90.0
145,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2019.0,94.0
146,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2020.0,98.0
147,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2020.0,90.0
148,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2020.0,94.0
149,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2012.0,52.0
150,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2012.0,66.0
151,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2012.0,80.0
152,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2013.0,53.0
153,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2013.0,80.0
154,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2013.0,66.0
155,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2014.0,66.0
156,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2014.0,80.0
157,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2014.0,53.0
158,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2015.0,67.0
159,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2015.0,54.0
160,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2015.0,80.0
161,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2016.0,67.0
162,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2016.0,54.0
163,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2016.0,80.0
164,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2017.0,67.0
165,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2017.0,54.0
166,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2017.0,80.0
167,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2018.0,67.0
168,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2018.0,55.0
169,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2018.0,80.0
170,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2019.0,68.0
171,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2019.0,55.0
172,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2019.0,80.0
173,SP_ACS_BSRVSAN          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2020.0,68.0
174,SP_ACS_BSRVSAN          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2020.0,56.0
175,SP_ACS_BSRVSAN          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,2020.0,79.0
176,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2012.0,247532401.0
177,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2013.0,6615000.0
178,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2014.0,119050800.0
179,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2015.0,89476419.00196
180,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2016.0,8659143.0
181,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2017.0,153084727.5224
182,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2018.0,147355220.9939
183,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2019.0,34780815.52554
184,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2020.0,920066206.49707
185,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2012.0,1.0
186,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2013.0,3.0
187,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2014.0,2.0
188,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2015.0,220.0
