,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
107,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2013.0,87.0
108,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2013.0,79.0
109,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2013.0,95.0
110,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2014.0,88.0
111,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2014.0,95.0
112,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2014.0,80.0
113,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2015.0,95.0
114,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2015.0,81.0
115,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2015.0,89.0
116,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2016.0,96.0
117,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2016.0,82.0
118,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2016.0,89.0
119,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2017.0,96.0
120,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2017.0,83.0
121,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2017.0,90.0
122,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2018.0,84.0
123,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2018.0,91.0
124,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2018.0,97.0
125,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2019.0,85.0
126,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2019.0,92.0
127,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2019.0,97.0
128,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2020.0,98.0
